Rank,ID,City,ISP,MonthlyPrice,DownloadSpeed,UploadSpeed,NetworkTechnology,DataCap,Bundled,Continent,Label,,,,,,,,,,,
1,424,Seoul,HelloVision,30.30,1000,1000,Fiber,.,No,Asia,"Seoul, HelloVision, 1000Mbps",,,,,,,,,,,
2,97,Hong Kong,Hong Kong Broadband Network Limited,37.41,1000,1000,Fiber,.,No,Asia,"Hong Kong, Hong Kong Broadband Network Limited, 1000Mbps",,,,,,,,,,,
3,286,Tokyo,KDDI,39.15,1000,1000,Fiber,.,No,Asia,"Tokyo, KDDI, 1000Mbps",,,,,,,,,,,
4,204,Paris,SFR,38.81,1000,200,Fiber,.,Yes,Europe,"Paris, SFR, 1000Mbps",,,,,,,,,,,
5,403,Bucharest,RCS & RDS,32.35,1000,30,Fiber,N/A,No,Europe,"Bucharest, RCS & RDS, 1000Mbps",,,,,,,,,,,
6,296,Riga,Baltcom,37.00,250,250,Fiber,.,No,Europe,"Riga, Baltcom, 250Mbps",,,,,,,,,,,
7,640,"San Francisco, CA",Webpass,30.00,200,200,Fiber,.,No,North America,"San Francisco, CA, Webpass, 200Mbps",,,,,,,,,,,
8,521,London,PlusNet,32.13,76,19.5,Fiber,N/A,No,Europe,"London, PlusNet, 76Mbps",,,,,,,,,,,
9,228,Berlin,TeleColumbus,37.18,64,3,ADSL,N/A,No,Europe,"Berlin, TeleColumbus, 64Mbps",,,,,,,,,,,
10,155,Copenhagen,SEAS-NVE,38.68,60,60,Fiber,.,Yes,Europe,"Copenhagen, SEAS-NVE, 60Mbps",,,,,,,,,,,
11,255,Dublin,UPC,36.59,60,6,Cable,30,Yes,Europe,"Dublin, UPC, 60Mbps",,,,,,,,,,,
12,362,Amsterdam,Telfort,31.33,50,5,.,N/A,No,Europe,"Amsterdam, Telfort, 50Mbps",,,,,,,,,,,
13,573,"Kansas City, KS",Consolidated Communications,30.00,30,5,Fiber,.,No,North America,"Kansas City, KS, Consolidated Communications, 30Mbps",,,,,,,,,,,
13,561,"Kansas City, MO",Consolidated Communications,30.00,30,5,Fiber,.,No,North America,"Kansas City, MO, Consolidated Communications, 30Mbps",,,,,,,,,,,
15,64,Toronto,Teksavvy,36.25,30,5,DSL,150,No,North America,"Toronto, Teksavvy, 30Mbps",,,,,,,,,,,
16,584,"Lafayette, LA",LUS,33.95,20,20,Fiber,.,No,North America,"Lafayette, LA, LUS, 20Mbps",,,,,,,,,,,
17,536,"Bristol, VA",BVU,39.95,20,5,Fiber,.,No,North America,"Bristol, VA, BVU, 20Mbps",,,,,,,,,,,
18,498,Zurich,UPC,32.37,20,2,Fiber,.,No,Europe,"Zurich, UPC, 20Mbps",,,,,,,,,,,
19,117,Prague,O2,37.41,20,2,ADSL,N/A,No,Europe,"Prague, O2, 20Mbps",,,,,,,,,,,
20,595,"Los Angeles, CA",Time Warner Cable,39.99,15,1,Cable,.,No,North America,"Los Angeles, CA, Time Warner Cable, 15Mbps",,,,,,,,,,,
20,613,"New York, NY",Time Warner Cable,39.99,15,1,Cable,.,No,North America,"New York, NY, Time Warner Cable, 15Mbps",,,,,,,,,,,
22,645,"Washington, DC",RCN,39.99,10,2,Cable,.,No,North America,"Washington, DC, RCN, 10Mbps",,,,,,,,,,,
23,543,"Chattanooga, TN",AT&T,34.95,6,.,Fiber,250,No,North America,"Chattanooga, TN, AT&T, 6Mbps",,,,,,,,,,,
24,330,Mexico City,Maxcom,32.46,4,1,DSL,.,No,North America,"Mexico City, Maxcom, 4Mbps",,,,,,,,,,,
