ID,Type,Label,Continent,Country,City,ISP,NetworkTechnology,Bundle,DownloadSpeed,UploadSpeed,MonthlyPriceForeign,MonthlyPrice,DataCap,DataOveragePenaltyForeign,DataOveragePenalty,ActivationFeeForeign,ActivationFee,ModemFeeMonthlyForeign,ModemFeeMonthly,ModemFeePurchaseForeign,ModemFeePurchase,ContractLength,AddressAuthenitcation,Website,Notes,Currency,DataUpdated,,,,,,,,
1,Home Broadband,"Toronto, Acanac, 10Mbps",North America,Canada,Toronto,Acanac,ADSL2+,Broadband + Phone,10,1,29.95,24.15,N/A,N/A,N/A,49.95,40.28,N/A,N/A,49.00,39.52,12,N,http://www.acanac.ca/ontario.html,Can purchase a dry/naked DSL line for $8 monthly.,Canadian dollars.,,,,,,,,,
2,Home Broadband,"Toronto, Acanac, 10Mbps",North America,Canada,Toronto,Acanac,ADSL2+,Broadband + Phone,10,1,34.95,28.19,N/A,N/A,N/A,49.95,40.28,N/A,N/A,49.00,39.52,1,N,http://www.acanac.ca/ontario.html,Can purchase a dry/naked DSL line for $8 monthly.,Canadian dollars.,,,,,,,,,
3,Home Broadband,"Toronto, Acanac, 15Mbps",North America,Canada,Toronto,Acanac,ADSL2+,Broadband + Phone,15,1,34.95,28.19,N/A,N/A,N/A,49.95,40.28,N/A,N/A,49.00,39.52,12,N,http://www.acanac.ca/ontario.html,Can purchase a dry/naked DSL line for $8 monthly.,Canadian dollars.,,,,,,,,,
4,Home Broadband,"Toronto, Acanac, 15Mbps",North America,Canada,Toronto,Acanac,ADSL2+,Broadband + Phone,15,1,39.95,32.22,N/A,N/A,N/A,49.95,40.28,N/A,N/A,49.00,39.52,1,N,http://www.acanac.ca/ontario.html,Can purchase a dry/naked DSL line for $8 monthly.,Canadian dollars.,,,,,,,,,
5,Home Broadband,"Toronto, Acanac, 25Mbps",North America,Canada,Toronto,Acanac,VDSL,Broadband + Phone,25,10,39.95,32.22,N/A,N/A,N/A,49.95,40.28,N/A,N/A,99.00,79.84,12,N,http://www.acanac.ca/ontario.html,Can purchase a dry/naked DSL line for $8 monthly.,Canadian dollars.,,,,,,,,,
6,Home Broadband,"Toronto, Acanac, 25Mbps",North America,Canada,Toronto,Acanac,VDSL,Broadband + Phone,25,10,44.95,36.25,N/A,N/A,N/A,49.95,40.28,N/A,N/A,99.00,79.84,1,N,http://www.acanac.ca/ontario.html,Can purchase a dry/naked DSL line for $8 monthly.,Canadian dollars.,,,,,,,,,
7,Home Broadband,"Toronto, Acanac, 30Mbps",North America,Canada,Toronto,Acanac,Cable,Broadband only,30,5,49.95,40.28,350,0.50/GB,0.40/GB,49.95,40.28,N/A,N/A,75.00,60.48,12,N,http://www.acanac.ca/ontario.html,Data overage penalty is 50 cents/GB up to $35.,Canadian dollars.,,,,,,,,,
8,Home Broadband,"Toronto, Acanac, 30Mbps",North America,Canada,Toronto,Acanac,Cable,Broadband only,30,5,54.95,44.31,350,0.50/GB,0.40/GB,49.95,40.28,N/A,N/A,75.00,60.48,1,N,http://www.acanac.ca/ontario.html,Data overage penalty is 50 cents/GB up to $35.,Canadian dollars.,,,,,,,,,
9,Home Broadband,"Toronto, Acanac, 30Mbps",North America,Canada,Toronto,Acanac,Cable,Broadband only,30,5,59.95,48.35,N/A,N/A,N/A,49.95,40.28,N/A,N/A,75.00,60.48,12,N,http://www.acanac.ca/ontario.html,Can purchase a dry/naked DSL line for $8 monthly.,Canadian dollars.,,,,,,,,,
10,Home Broadband,"Toronto, Acanac, 30Mbps",North America,Canada,Toronto,Acanac,Cable,Broadband only,30,5,64.95,52.38,N/A,N/A,N/A,49.95,40.28,N/A,N/A,75.00,60.48,1,N,http://www.acanac.ca/ontario.html,Can purchase a dry/naked DSL line for $8 monthly.,Canadian dollars.,,,,,,,,,
11,Home Broadband,"Toronto, Acanac, 50Mbps",North America,Canada,Toronto,Acanac,VDSL,Broadband + Phone,50,10,64.95,52.38,N/A,N/A,N/A,49.95,40.28,N/A,N/A,99.00,79.84,12,N,http://www.acanac.ca/ontario.html,Can purchase a dry/naked DSL line for $8 monthly.,Canadian dollars.,,,,,,,,,
12,Home Broadband,"Toronto, Acanac, 50Mbps",North America,Canada,Toronto,Acanac,VDSL,Broadband + Phone,50,10,69.95,56.41,N/A,N/A,N/A,49.95,40.28,N/A,N/A,99.00,79.84,1,N,http://www.acanac.ca/ontario.html,Can purchase a dry/naked DSL line for $8 monthly.,Canadian dollars.,,,,,,,,,
13,Home Broadband,"Toronto, Acanac, 60Mbps",North America,Canada,Toronto,Acanac,Cable,Broadband only,60,10,64.95,52.38,350,0.50/GB,0.40/GB,49.95,40.28,N/A,N/A,75.00,60.48,12,N,http://www.acanac.ca/ontario.html,Data overage penalty is 50 cents/GB up to $35.,Canadian dollars.,,,,,,,,,
14,Home Broadband,"Toronto, Acanac, 60Mbps",North America,Canada,Toronto,Acanac,Cable,Broadband only,60,10,69.95,56.41,350,0.50/GB,0.40/GB,49.95,40.28,N/A,N/A,75.00,60.48,1,N,http://www.acanac.ca/ontario.html,Data overage penalty is 50 cents/GB up to $35.,Canadian dollars.,,,,,,,,,
15,Home Broadband,"Toronto, Acanac, 60Mbps",North America,Canada,Toronto,Acanac,Cable,Broadband only,60,10,74.95,60.44,N/A,N/A,N/A,49.95,40.28,N/A,N/A,75.00,60.48,12,N,http://www.acanac.ca/ontario.html,Can purchase a dry/naked DSL line for $8 monthly.,Canadian dollars.,,,,,,,,,
16,Home Broadband,"Toronto, Acanac, 60Mbps",North America,Canada,Toronto,Acanac,Cable,Broadband only,60,10,79.95,64.48,N/A,N/A,N/A,49.95,40.28,N/A,N/A,75.00,60.48,1,N,http://www.acanac.ca/ontario.html,Can purchase a dry/naked DSL line for $8 monthly.,Canadian dollars.,,,,,,,,,
17,Home Broadband,"Toronto, Bell, 5Mbps",North America,Canada,Toronto,Bell,Fiber,Broadband only,5,1,47.95,38.67,40,4/GB,3.23/GB,49.95,40.28,N/A,N/A,99.95,80.60,1,N,http://www.bell.ca/Bell_Internet/Internet_access,Data overage penalty is 4 dollars/GB up to $80.,Canadian dollars.,,,,,,,,,
18,Home Broadband,"Toronto, Bell, 15Mbps",North America,Canada,Toronto,Bell,Fiber,Broadband only,15,10,57.95,46.73,80,2/GB,1.61/GB,49.95,40.28,N/A,N/A,99.95,80.60,1,N,http://www.bell.ca/Bell_Internet/Internet_access,Data overage penalty is 2 dollars/GB up to $80.,Canadian dollars.,,,,,,,,,
19,Home Broadband,"Toronto, Bell, 25Mbps",North America,Canada,Toronto,Bell,Fiber,Broadband only,25,10,61.95,49.96,100,2/GB,1.61/GB,49.95,40.28,N/A,N/A,99.95,80.60,1,N,http://www.bell.ca/Bell_Internet/Internet_access,Data overage penalty is 2 dollars/GB up to $80.,Canadian dollars.,,,,,,,,,
20,Home Broadband,"Toronto, Bell, 50Mbps",North America,Canada,Toronto,Bell,Fiber,Broadband only,50,10,69.95,56.41,150,2/GB,1.61/GB,49.95,40.28,N/A,N/A,99.95,80.60,1,N,http://www.bell.ca/Bell_Internet/Internet_access,Data overage penalty is 2 dollars/GB up to $80.,Canadian dollars.,,,,,,,,,
21,Home Broadband,"Toronto, Bell, 175Mbps",North America,Canada,Toronto,Bell,Fiber,Broadband only,175,175,89.95,72.54,300,2/GB,1.61/GB,49.95,40.28,N/A,N/A,99.95,80.60,1,N,http://www.bell.ca/Bell_Internet/Internet_access,Data overage penalty is 2 dollars/GB up to $80.,Canadian dollars.,,,,,,,,,
22,Home Broadband,"Toronto, Cogeco, 6Mbps",North America,Canada,Toronto,Cogeco,Cable,Broadband only,6,1.5,45.95,37.06,35,1.50/GB,1.21/GB,.,.,N/A,N/A,N/A,N/A,1,N,http://www.cogeco.ca/web/on/en/residential/internet/packages/,This reflects non-promotional price and included modem fees.,Canadian dollars.,,,,,,,,,
23,Home Broadband,"Toronto, Cogeco, 10Mbps",North America,Canada,Toronto,Cogeco,Cable,Broadband only,10,2,51.95,41.90,80,1.50/GB,1.21/GB,.,.,N/A,N/A,N/A,N/A,1,N,http://www.cogeco.ca/web/on/en/residential/internet/packages/,This reflects non-promotional price and included modem fees.,Canadian dollars.,,,,,,,,,
24,Home Broadband,"Toronto, Cogeco, 14Mbps",North America,Canada,Toronto,Cogeco,Cable,Broadband only,14,2,62.95,50.77,125,1.50/GB,1.21/GB,.,.,N/A,N/A,N/A,N/A,1,N,http://www.cogeco.ca/web/on/en/residential/internet/packages/,This reflects non-promotional price and included modem fees.,Canadian dollars.,,,,,,,,,
25,Home Broadband,"Toronto, Cogeco, 20Mbps",North America,Canada,Toronto,Cogeco,Cable,Broadband only,20,10,61.95,49.96,150,1.50/GB,1.21/GB,.,.,N/A,N/A,N/A,N/A,1,N,http://www.cogeco.ca/web/on/en/residential/internet/packages/,This reflects non-promotional price and included modem fees.,Canadian dollars.,,,,,,,,,
26,Home Broadband,"Toronto, Cogeco, 55Mbps",North America,Canada,Toronto,Cogeco,Cable,Broadband only,55,10,73.95,59.64,275,1/GB,0.81/GB,.,.,N/A,N/A,N/A,N/A,1,N,http://www.cogeco.ca/web/on/en/residential/internet/packages/,This reflects non-promotional price and included modem fees.,Canadian dollars.,,,,,,,,,
27,Home Broadband,"Toronto, Cogeco, 55Mbps",North America,Canada,Toronto,Cogeco,Cable,Broadband only,55,10,103.95,83.83,N/A,N/A,N/A,.,.,N/A,N/A,N/A,N/A,1,N,http://www.cogeco.ca/web/on/en/residential/internet/packages/,This reflects non-promotional price and included modem fees.,Canadian dollars.,,,,,,,,,
28,Home Broadband,"Toronto, Cogeco, 120Mbps",North America,Canada,Toronto,Cogeco,Cable,Broadband only,120,10,94.95,76.57,425,1/GB,0.81/GB,.,.,N/A,N/A,N/A,N/A,1,N,http://www.cogeco.ca/web/on/en/residential/internet/packages/,This reflects non-promotional price and included modem fees.,Canadian dollars.,,,,,,,,,
