Rank,ID,City,ISP,DownloadSpeed,UploadSpeed,MonthlyPrice,DataCap,NetworkTechnology,Bundled,Continent,Label,,,,,,,,,,
1,424,Seoul,HelloVision,1000,1000,30.30,.,Fiber,No,Asia,"Seoul, HelloVision, 1000Mbps",,,,,,,,,,
1,97,Hong Kong,Hong Kong Broadband Network Limited,1000,1000,37.41,.,Fiber,No,Asia,"Hong Kong, Hong Kong Broadband Network Limited, 1000Mbps",,,,,,,,,,
1,286,Tokyo,KDDI,1000,1000,39.15,.,Fiber,No,Asia,"Tokyo, KDDI, 1000Mbps",,,,,,,,,,
1,551,Chattanooga,EPB,1000,1000,69.99,N/A,Fiber,No,North America,"Chattanooga, EPB, 1000Mbps",,,,,,,,,,
1,555,"Kansas City, MO",Google Fiber,1000,1000,70.00,N/A,Fiber,No,North America,"Kansas City, MO, Google Fiber, 1000Mbps",,,,,,,,,,
1,567,"Kansas City, KS",Google Fiber,1000,1000,70.00,N/A,Fiber,No,North America,"Kansas City, KS, Google Fiber, 1000Mbps",,,,,,,,,,
1,586,Lafayette,LUS,1000,1000,109.95,.,Fiber,No,North America,"Lafayette, LUS, 1000Mbps",,,,,,,,,,
8,489,Zurich,Swisscom,1000,100,157.55,N/A,Fiber,Yes,Europe,"Zurich, Swisscom, 1000Mbps",,,,,,,,,,
9,541,Bristol,BVU,1000,50,319.95,.,Fiber,No,North America,"Bristol, BVU, 1000Mbps",,,,,,,,,,
10,403,Bucharest,RCS & RDS,1000,30,32.35,N/A,Fiber,No,Europe,"Bucharest, RCS & RDS, 1000Mbps",,,,,,,,,,
11,187,Paris,Free,1000,.,35.28,.,Fiber,Yes,Europe,"Paris, Free, 1000Mbps",,,,,,,,,,
12,371,Amsterdam,XS4ALL,500,500,72.29,.,Fiber,No,Europe,"Amsterdam, XS4ALL, 500Mbps",,,,,,,,,,
12,158,Copenhagen,SEAS-NVE,500,500,129.24,.,Fiber,Yes,Europe,"Copenhagen, SEAS-NVE, 500Mbps",,,,,,,,,,
12,295,Riga,Baltcom,500,500,142.29,.,Fiber,No,Europe,"Riga, Baltcom, 500Mbps",,,,,,,,,,
12,604,Los Angeles,Verizon,500,500,299.99,N/A,Fiber,No,North America,"Los Angeles, Verizon, 500Mbps",,,,,,,,,,
12,622,New York,Verizon,500,500,299.99,N/A,Fiber,No,North America,"New York, Verizon, 500Mbps",,,,,,,,,,
12,656,"Washington, DC",Verizon,500,500,299.99,N/A,Fiber,No,North America,"Washington, DC, Verizon, 500Mbps",,,,,,,,,,
18,43,Toronto,Rogers,350,350,182.25,2000,Fiber,No,North America,"Toronto, Rogers, 350Mbps",,,,,,,,,,
19,121,Prague,UPC,240,20,83.63,N/A,Fiber,No,Europe,"Prague, UPC, 240Mbps",,,,,,,,,,
20,640,San Francisco,Webpass,200,200,30.00,.,Fiber,No,North America,"San Francisco, Webpass, 200Mbps",,,,,,,,,,
20,336,Mexico City,Axtel,200,200,156.32,.,Fiber,Yes,North America,"Mexico City, Axtel, 200Mbps",,,,,,,,,,
22,216,Berlin,Deutsche Telekom,200,100,57.63,N/A,Fiber,Yes,Europe,"Berlin, Deutsche Telekom, 200Mbps",,,,,,,,,,
23,251,Dublin,UPC,200,10,63.41,N/A,Cable,Yes,Europe,"Dublin, UPC, 200Mbps",,,,,,,,,,
24,532,London,Virgin,152,.,55.71,N/A,Fiber,No,Europe,"London, Virgin, 152Mbps",,,,,,,,,,
