City,Continent,AvgMonthlyPrice,Count,AvgDataCap
Tokyo,Asia,57.03238279,2,3
Mexico City,North America,52.8357236,8,3.625
Seoul,Asia,48.93850062,4,3.75
Bristol,North America,43.3972,25,4.04
Chattanooga,North America,43.3972,25,4.04
"Kansas City, KS",North America,43.3972,25,4.04
"Kansas City, MO",North America,43.3972,25,4.04
Lafayette,North America,43.3972,25,4.04
Los Angeles,North America,43.3972,25,4.04
New York,North America,43.3972,25,4.04
San Francisco,North America,43.3972,25,4.04
"Washington, DC",North America,43.3972,25,4.04
Hong Kong,Asia,41.07067287,17,4
Prague,Europe,37.45679012,3,4
Amsterdam,Europe,36.14457831,3,2.666666667
Toronto,North America,31.4516129,5,3
Berlin,Europe,27.44871795,7,4.214285714
Bucharest,Europe,26.82605042,7,4.142857143
Riga,Europe,24.69285714,4,3.25
London,Europe,23.80634921,36,4.055555556
Zurich,Europe,23.02158273,4,4.5
Paris,Europe,18.81176471,4,4
Dublin,Europe,15.84146341,1,2
Copenhagen,Europe,11.32276843,10,4.1
