City,Continent,Count,AvgDataCap,AvgMonthlyPrice
Seoul,Asia,2,2.5,40.78208385
Mexico City,North America,2,2.5,38.98305085
Amsterdam,Europe,3,2.666666667,36.14457831
Hong Kong,Asia,13,4,42.28002214
Prague,Europe,2,4.5,39.55555556
New York,North America,2,5,40
San Francisco,North America,2,5,40
"Washington, DC",North America,2,5,40
Bristol,North America,2,5,40
Chattanooga,North America,2,5,40
"Kansas City, KS",North America,2,5,40
"Kansas City, MO",North America,2,5,40
Lafayette,North America,2,5,40
Los Angeles,North America,2,5,40
Berlin,Europe,3,5.666666667,40.57264957
Tokyo,Asia,1,7,40.55099082
Zurich,Europe,4,10,37.23021583
Bucharest,Europe,3,10,41.49411765
Toronto,North America,4,11.25,38.30645161
Paris,Europe,1,12,41.16470588
London,Europe,14,15.28571429,39.59183673
Riga,Europe,2,20,40.65714286
Dublin,Europe,4,35,39.63109756
