City,Continent,Count,AvgPrice
London,Europe,8,24.76607143
Paris,Europe,5,35.49647059
Bucharest,Europe,11,36.17272727
Riga,Europe,1,37
Tokyo,Asia,5,39.4780087
Copenhagen,Europe,23,41.61651386
Amsterdam,Europe,14,43.52409639
Berlin,Europe,7,45.00915751
Prague,Europe,3,45.55555556
"Kansas City, KS",North America,3,46.64666667
"Kansas City, MO",North America,3,46.64666667
Toronto,North America,18,50.99910394
San Francisco,North America,1,51.97
Bristol,North America,3,52.46333333
Hong Kong,Asia,4,53.64208633
Dublin,Europe,1,54.81707317
Lafayette,North America,2,57.47
Zurich,Europe,18,59.63229416
Chattanooga,North America,1,64.95
New York,North America,4,66.24
"Washington, DC",North America,3,66.65666667
Los Angeles,North America,4,69.98
Mexico City,North America,4,123.7288136
