City,Continent,Count,AvgSpeed
Seoul,Asia,14,311.4285714
Hong Kong,Asia,6,301.6666667
Paris,Europe,12,294.5454545
Tokyo,Asia,19,206.2105263
Riga,Europe,6,116.6666667
Bucharest,Europe,6,76.66666667
London,Europe,6,65.66666667
Dublin,Europe,11,56.90909091
Copenhagen,Europe,19,41.15789474
Amsterdam,Europe,10,39.5
Zurich,Europe,11,34.09090909
Lafayette,North America,2,34
San Francisco,North America,7,33
Prague,Europe,5,32
New York,North America,3,28.33333333
Los Angeles,North America,4,28.25
Bristol,North America,3,26.66666667
Berlin,Europe,13,25.92307692
"Kansas City, KS",North America,4,25
"Kansas City, MO",North America,4,25
Toronto,North America,28,24.14285714
"Washington, DC",North America,4,22.75
Chattanooga,North America,3,16.33333333
Mexico City,North America,3,7
