City,Continent,AvgSpeed
Tokyo,Asia,457.5
Hong Kong,Asia,389.7142857
Bristol,Europe,352.5
"Kansas City, KS",North America,287.5
"Kansas City, MO",North America,287.5
Chattanooga,North America,254.8
Lafayette,North America,233.1666667
Prague,Europe,180
Riga,Europe,169.6
Amsterdam,Europe,168.9473684
Zurich,Europe,137.7941176
"Washington, DC",North America,134.5833333
New York,North America,128.5714286
Copenhagen,Europe,126.1538462
Los Angeles,North America,124.9285714
Toronto,North America,99.13888889
Dublin,Europe,87.25
London,Europe,84
Berlin,Europe,82.72727273
Bucharest,Europe,75
San Francisco,North America,56
Mexico City,North America,53.9375
