City,Continent,Speed,Price,Evalue/f(x) value
Hong Kong,Asia,302.6102582,50,3.912023005
Seoul,Asia,281.323312,50,10.96819806
Tokyo,Asia,204.5244569,50,33.28144385
Paris,Europe,199.5917025,50,37.33756782
Riga,Europe,108.315,50,
Copenhagen,Europe,84.18,50,
London,Europe,78.7021,50,
Prague,Europe,75.1,50,
Dublin,Europe,71.415,50,
Bucharest,Europe,64.61794853,50,2.815106236
San Francisco,North America,60.43620421,50,3.912023005
Amsterdam,Europe,51.17465446,50,9.583089167
Toronto,North America,50.777,50,
Berlin,Europe,45.30034751,50,28.36057567
"Kansas City, KS",North America,42.4935666,50,12.00112025
"Kansas City, MO",North America,42.4935666,50,12.00112025
New York City,North America,38.7,50,
Bristol,North America,35.53750877,50,1.944490521
Los Angeles,North America,34.856,50,
Zurich,Europe,29.60499404,50,4.711470183
Lafayette,North America,27.63617555,50,21.97707798
"Washington, DC",North America,26.421,50,
Chattanooga,North America,24.03214662,50,21.54190268
Mexico City,North America,7.843969188,50,2.611696473
