City,Continent,Speed,Price,e value/f(x) value
London,Europe,25,23.686,
Seoul,Asia,25,28.11946139,3.218875825
Bucharest,Europe,25,28.57981253,3.218875825
Paris,Europe,25,31.0129262,3.218875825
Tokyo,Asia,25,34.47377436,3.218875825
Copenhagen,Europe,25,36.188,
Prague,Europe,25,38.941,
Amsterdam,Europe,25,39.55443082,3.218875825
"Kansas City, KS",North America,25,40.59857735,3.218875825
"Kansas City, MO",North America,25,40.59857735,3.218875825
Toronto,North America,25,41.347,
Berlin,Europe,25,41.83832878,3.218875825
Riga,Europe,25,44.6425,
Dublin,Europe,25,46.5275,
Lafayette,North America,25,49.52408319,3.218875825
Zurich,Europe,25,51.23319036,3.218875825
"Washington, DC",North America,25,52.233,
Hong Kong,Asia,25,52.40140267,1.010050167
Los Angeles,North America,25,53.9475,
Chattanooga,North America,25,54.49944074,3.218875825
New York City,North America,25,54.6825,
San Francisco,North America,25,58.07731251,0.951229425
Bristol,North America,25,60.0535,
Mexico City,North America,25,109.5911475,3.218875825
