price,downloadspeed,city,continent
0,5,"Kansas City, KS & MO",North America
2.913005989,160,Seoul,Asia
8.9,17,London,Europe
9.642857143,38,London,Europe
10.71428571,17,London,Europe
11.17647059,20,Bucharest,Europe
11.17647059,20,Bucharest,Europe
11.42857143,17,London,Europe
11.76470588,5,Bucharest,Europe
13.98242875,160,Seoul,Asia
14.28571429,38,London,Europe
14.28571429,17,London,Europe
14.70588235,30,Bucharest,Europe
14.70588235,30,Bucharest,Europe
17.05882353,100,Bucharest,Europe
17.40937651,12,Tokyo,Asia
17.50588235,10,Bucharest,Europe
17.64705882,10,Bucharest,Europe
17.64705882,4,Bucharest,Europe
17.84285714,16,London,Europe
18.70588235,95,Paris,Europe
18.70588235,20,Paris,Europe
18.82352941,50,Bucharest,Europe
18.82352941,50,Bucharest,Europe
19.69192049,8,Seoul,Asia
20,10,"Kansas City, KS & MO",North America
20.12096774,7,Toronto,North America
20.15322581,7,Toronto,North America
21.2066836,8,Seoul,Asia
21.41428571,16,London,Europe
21.42857143,76,London,Europe
21.42857143,38,London,Europe
21.73387097,6,Toronto,North America
21.76612903,6,Toronto,North America
22.71628806,16,Tokyo,Asia
22.72144672,100,Seoul,Asia
22.94117647,200,Bucharest,Europe
23.06410256,16,Berlin,Europe
23.4939759,8,Amsterdam,Europe
23.51764706,12,Paris,Europe
23.52941176,100,Bucharest,Europe
23.52941176,60,Bucharest,Europe
23.52941176,60,Bucharest,Europe
23.52941176,20,Bucharest,Europe
24.03614458,10,Amsterdam,Europe
24.15322581,10,Toronto,North America
24.15322581,7,Toronto,North America
24.18548387,7,Toronto,North America
24.23620983,8,Seoul,Asia
24.45019405,5,Copenhagen,Europe
24.46925031,100,Seoul,Asia
24.58823529,95,Paris,Europe
24.58823529,20,Paris,Europe
24.58823529,20,Paris,Europe
24.78492025,50,Tokyo,Asia
24.98571429,38,London,Europe
24.99359139,160,Seoul,Asia
25,100,San Francisco,North America
25,18,"Kansas City, KS & MO",North America
25.51282051,20,Berlin,Europe
25.51282051,10,Berlin,Europe
25.71428571,20,Riga,Europe
25.74385511,10,Copenhagen,Europe
25.74385511,10,Copenhagen,Europe
25.74385511,10,Copenhagen,Europe
25.74385511,10,Copenhagen,Europe
26.24285714,16,London,Europe
26.47058824,500,Bucharest,Europe
26.5060241,30,Amsterdam,Europe
26.57258065,15,Toronto,North America
26.57258065,10,Toronto,North America
26.57258065,6,Toronto,North America
26.58289029,16,Tokyo,Asia
26.60483871,15,Toronto,North America
26.60483871,10,Toronto,North America
26.60483871,6,Toronto,North America
26.61870504,10,Hong Kong,Asia
26.78571429,17,London,Europe
26.91617534,160,Seoul,Asia
27.26573606,200,Seoul,Asia
27.26573606,8,Seoul,Asia
27.71084337,20,Amsterdam,Europe
27.9,50,Bucharest,Europe
27.9,20,Bucharest,Europe
27.9,6,Bucharest,Europe
27.9648575,160,Seoul,Asia
27.9648575,100,Seoul,Asia
27.9648575,100,Seoul,Asia
28.18548387,15,Toronto,North America
28.18548387,10,Toronto,North America
28.18548387,10,Toronto,North America
28.18548387,6,Toronto,North America
28.21774194,15,Toronto,North America
28.33117723,15,Copenhagen,Europe
28.33117723,15,Copenhagen,Europe
28.33117723,12,Copenhagen,Europe
28.33117723,9,Copenhagen,Europe
28.5,38,London,Europe
28.57142857,38,London,Europe
28.77697842,15,Zurich,Europe
28.81176471,50,Paris,Europe
28.81176471,15,Paris,Europe
29.13005989,100,Seoul,Asia
29.13005989,100,Seoul,Asia
29.36310037,200,Seoul,Asia
29.41176471,150,Bucharest,Europe
29.41176471,30,Bucharest,Europe
29.41176471,10,Bucharest,Europe
29.62483829,20,Copenhagen,Europe
29.62483829,15,Copenhagen,Europe
29.62962963,5,Prague,Europe
29.7983871,7,Toronto,North America
30,200,San Francisco,North America
30,30,"Kansas City, KS & MO",North America
30,17,London,Europe
30.06024096,30,Amsterdam,Europe
30.12048193,40,Amsterdam,Europe
30.23682939,8,Tokyo,Asia
30.29526229,1000,Seoul,Asia
30.29526229,160,Seoul,Asia
30.29526229,8,Seoul,Asia
30.39568345,50,Hong Kong,Asia
30.47058824,20,Paris,Europe
30.76134325,160,Seoul,Asia
30.93281779,8,Tokyo,Asia
31.14285714,5,Riga,Europe
31.3253012,50,Amsterdam,Europe
31.41614306,200,Tokyo,Asia
31.41614306,100,Tokyo,Asia
31.46046468,100,Seoul,Asia
31.46046468,100,Seoul,Asia
31.5,20,Bucharest,Europe
31.56532988,20,Copenhagen,Europe
31.91489362,100,Seoul,Asia
31.98717949,16,Berlin,Europe
32.01438849,100,Hong Kong,Asia
32.03846154,32,Berlin,Europe
32.03846154,8,Berlin,Europe
32.03846154,6,Berlin,Europe
32.12857143,76,London,Europe
32.21216041,20,Copenhagen,Europe
32.21216041,20,Copenhagen,Europe
32.21216041,20,Copenhagen,Europe
32.21774194,25,Toronto,North America
32.21774194,25,Toronto,North America
32.21774194,15,Toronto,North America
32.21774194,10,Toronto,North America
32.25,25,Toronto,North America
32.25,7,Toronto,North America
32.25,6,Toronto,North America
32.27610636,100,Seoul,Asia
32.35294118,1000,Bucharest,Europe
32.37410072,20,Zurich,Europe
32.38279362,1000,Tokyo,Asia
32.38279362,200,Tokyo,Asia
32.38279362,100,Tokyo,Asia
32.46414602,4,Mexico City,North America
32.59259259,8,Prague,Europe
32.62566708,1000,Seoul,Asia
32.62566708,160,Seoul,Asia
32.6839272,100,Seoul,Asia
32.6839272,100,Seoul,Asia
32.82352941,100,Bucharest,Europe
32.85714286,38,London,Europe
32.85714286,20,Riga,Europe
32.98835705,20,Copenhagen,Europe
33.02419355,15,Toronto,North America
33.13253012,8,Amsterdam,Europe
33.50582147,25,Copenhagen,Europe
33.55782899,200,Seoul,Asia
33.81294964,10,Hong Kong,Asia
33.95,20,Lafayette,North America
34.10343161,12,Tokyo,Asia
34.15265201,10,Copenhagen,Europe
34.28571429,100,Riga,Europe
34.5323741,15,Zurich,Europe
34.60651115,160,Seoul,Asia
