price,downloadspeed,species
48.13253012,30,Amsterdam
54.15662651,50,Amsterdam
60.18072289,100,Amsterdam
54.21686747,10,Amsterdam
71.08433735,50,Amsterdam
77.10843373,130,Amsterdam
83.13253012,210,Amsterdam
89.15662651,290,Amsterdam
95.18072289,370,Amsterdam
101.2048193,450,Amsterdam
#DIV/0!,500,Amsterdam
33.13253012,8,Amsterdam
39.15662651,25,Amsterdam
45.18072289,40,Amsterdam
65.36144578,100,Amsterdam
24.03614458,10,Amsterdam
30.06024096,30,Amsterdam
36.08433735,50,Amsterdam
48.19277108,50,Amsterdam
54.21686747,60,Amsterdam
60.24096386,100,Amsterdam
27.71084337,20,Amsterdam
30.12048193,40,Amsterdam
23.4939759,8,Amsterdam
26.5060241,30,Amsterdam
31.3253012,50,Amsterdam
48.19277108,50,Amsterdam
57.22891566,100,Amsterdam
43.97590361,50,Amsterdam
53.01204819,120,Amsterdam
65.06024096,200,Amsterdam
36.14457831,20,Amsterdam
48.19277108,50,Amsterdam
60.24096386,100,Amsterdam
72.28915663,500,Amsterdam
48.13253012,30,Amsterdam
60.18072289,90,Amsterdam
72.22891566,180,Amsterdam
32.03846154,6,Berlin
38.44871795,6,Berlin
44.85897436,16,Berlin
51.26923077,50,Berlin
38.44871795,6,Berlin
44.85897436,16,Berlin
51.26923077,50,Berlin
42.24358974,16,Berlin
44.80769231,50,Berlin
51.21794872,100,Berlin
57.62820513,200,Berlin
25.51282051,20,Berlin
25.51282051,10,Berlin
38.33333333,25,Berlin
42.17948718,50,Berlin
51.15384615,100,Berlin
32.03846154,8,Berlin
38.44871795,16,Berlin
42.28205128,50,Berlin
51.26923077,100,Berlin
23.06410256,16,Berlin
32.03846154,32,Berlin
37.17948718,64,Berlin
51.26923077,128,Berlin
38.33333333,6,Berlin
51.15384615,16,Berlin
51.15384615,16,Berlin
38.3974359,16,Berlin
51.21794872,50,Berlin
64.03846154,100,Berlin
31.98717949,16,Berlin
39.95,20,Bristol
49.95,30,Bristol
59.95,50,Bristol
99.95,110,Bristol
169.95,250,Bristol
319.95,1000,Bristol
47.49,30,Bristol
17.64705882,4,Bucharest
29.41176471,10,Bucharest
44.11764706,30,Bucharest
88.23529412,50,Bucharest
17.50588235,10,Bucharest
31.5,20,Bucharest
44.11764706,30,Bucharest
61.76470588,50,Bucharest
11.76470588,5,Bucharest
17.64705882,10,Bucharest
23.52941176,20,Bucharest
29.41176471,30,Bucharest
35.29411765,40,Bucharest
11.17647059,20,Bucharest
14.70588235,30,Bucharest
18.82352941,50,Bucharest
23.52941176,60,Bucharest
47.05882353,80,Bucharest
58.82352941,100,Bucharest
11.17647059,20,Bucharest
14.70588235,30,Bucharest
18.82352941,50,Bucharest
23.52941176,60,Bucharest
47.05882353,80,Bucharest
58.82352941,100,Bucharest
17.05882353,100,Bucharest
22.94117647,200,Bucharest
26.47058824,500,Bucharest
32.35294118,1000,Bucharest
32.82352941,100,Bucharest
27.9,50,Bucharest
27.9,6,Bucharest
27.9,20,Bucharest
23.52941176,100,Bucharest
29.41176471,150,Bucharest
35.29411765,200,Bucharest
34.95,6,Chattanooga
44.95,18,Chattanooga
54.95,24,Chattanooga
64.95,45,Chattanooga
49.95,6,Chattanooga
46.47,25,Chattanooga
94.97,105,Chattanooga
57.99,100,Chattanooga
69.99,1000,Chattanooga
34.15265201,10,Copenhagen
38.03363519,18,Copenhagen
41.91461837,35,Copenhagen
44.50194049,50,Copenhagen
25.74385511,10,Copenhagen
29.62483829,20,Copenhagen
36.0931436,35,Copenhagen
38.68046572,50,Copenhagen
24.45019405,5,Copenhagen
25.74385511,10,Copenhagen
32.21216041,20,Copenhagen
45.14877102,30,Copenhagen
51.61707633,40,Copenhagen
64.55368693,50,Copenhagen
71.02199224,50,Copenhagen
28.33117723,9,Copenhagen
28.33117723,12,Copenhagen
28.33117723,15,Copenhagen
34.79948254,24,Copenhagen
34.79948254,32,Copenhagen
34.79948254,40,Copenhagen
38.68046572,36,Copenhagen
38.68046572,48,Copenhagen
38.68046572,60,Copenhagen
51.61707633,60,Copenhagen
51.61707633,80,Copenhagen
51.61707633,100,Copenhagen
28.33117723,15,Copenhagen
36.0931436,50,Copenhagen
38.68046572,60,Copenhagen
51.61707633,90,Copenhagen
64.55368693,250,Copenhagen
129.23674,500,Copenhagen
37.25743855,20,Copenhagen
34.67011643,40,Copenhagen
57.95601552,60,Copenhagen
67.01164295,150,Copenhagen
31.56532988,20,Copenhagen
38.68046572,40,Copenhagen
41.65588616,40,Copenhagen
57.4385511,60,Copenhagen
71.79818887,150,Copenhagen
32.98835705,20,Copenhagen
34.79948254,30,Copenhagen
37.38680466,40,Copenhagen
